ID NurPenBatch SowID Nur2ADG_Adj Nur2ADG
1036 3B_B3 3B_2004 0.307568275862069 0.163448275862069
1037 3B_B8 3B_1848 0.488214068965517 0.215862068965517
1038 3B_D7 3B_2004 0.261361379310345 0.117241379310345
1039 3B_B8 3B_1933 0.26495324137931 0.12551724137931
1040 3B_B3 3B_1754 0.308070482758621 0.0310344827586207
1041 3B_B3 3B_2028 0.283573931034483 0.144137931034483
1042 3B_D9 3B_1979 0.292683034482759 0.157931034482759
1043 3B_D4 3B_1974 0.534608413793104 0.395172413793103
1044 3B_B10 3B_1979 0.330614068965517 0.195862068965517
1045 3B_B10 3B_1857 0.398200275862069 0.263448275862069
1046 3B_B10 3B_1857 0.388545103448276 0.253793103448276
1047 3B_B10 3B_1658 0.549780827586207 0.410344827586207
1048 3B_B5 3B_2498 0.211849793103448 0.0724137931034483
1049 3B_B8 3B_2004 0.332395862068966 0.188275862068966
1050 3B_D4 3B_2498 0.43391875862069 0.29448275862069
1051 3B_B5 3B_1974 0.332539448275862 0.193103448275862
1052 3B_D6 3B_1994 0.271706206896552 0.127586206896552
1053 3B_D7 3B_2237 0.36923475862069 0.23448275862069
1054 3B_B5 3B_1974 0.23391875862069 0.0944827586206896
1055 3B_B5 3B_1658 0.48495324137931 0.34551724137931
1056 3B_B5 3B_2183 0.282481793103448 0.152413793103448
1057 3B_B10 3B_1753 0.356677379310345 0.217241379310345
1058 3B_D6 3B_1571 0.363573931034483 0.224137931034483
1059 3B_B5 3B_1857 0.184076137931034 -0.0882758620689655
1060 3B_B3 3B_1658 0.439436 0.3
1061 3B_D4 3B_1753 0.382884275862069 0.243448275862069
1062 3B_B5 3B_1994 0.324809655172414 0.180689655172414
1063 3B_D7 3B_1753 0.401504965517241 0.262068965517241
1064 3B_D6 3B_1974 0.227711862068966 0.0882758620689655
1065 3B_D9 3B_2475 0.274062344827586 0.139310344827586
1066 3B_D6 3B_2527 0.284622206896552 0.00758620689655175
1067 3B_D6 3B_1848 0.314062344827586 0.179310344827586
1069 3B_D9 3B_2475 0.443027862068965 0.308275862068966
1070 3B_D7 3B_2237 0.329593379310345 0.0572413793103448
